iteration,edges_before,users_before,items_before,edges_after,users_after,items_after,removed_edges_this_iter
1,1228992,267818,36181,832276,61972,20057,396716
2,832276,61972,20057,820555,60764,17820,11721
3,820555,60764,17820,817614,60195,17635,2941
4,817614,60195,17635,817085,60129,17567,529
5,817085,60129,17567,816957,60109,17555,128
6,816957,60109,17555,816921,60105,17550,36
7,816921,60105,17550,816913,60103,17550,8
8,816913,60103,17550,816909,60103,17549,4
9,816909,60103,17549,816905,60102,17549,4
10,816905,60102,17549,816905,60102,17549,0
